"Polys","Fishable_area"
"481_1",648.2
"481_2",811.3
"481_3",NA
"482_N",837.1
"482_S",1280.7
"486_2",8931.9
"486_3",1233
"486_4",8504.7
"486_5",5384.2
"5841_1",2584.6
"5841_2",4003.7
"5841_3",4864.9
"5841_4",850.1
"5841_5",926.5
"5841_6",4589.1
"5842_1",4986.7
"5842_2",NA
"5843a_1",7786.9
"5844b_1",4079.2
"5844b_2",4703.3
"882_1",4007.5
"882_2",7093.9
"882_3",5830.1
"882_4",6001.5
"882H",5972.4
"883_1",1125.6
"883_2",980.4
"883_3",3013.5
"883_4",4358.9
"883_5",1428.5
"883_6",533.7
"883_7",533.4
"883_8",394.9
"883_9",109
"883_10",NA
"HIMI",102163.3
"RSR_open",65235.9
