"Polys","Fishable_area"
"481_1",2909.5
"481_2",5522
"481_3",NA
"482_N",7155.4
"482_S",6588.5
"486_2",22859.3
"486_3",3424.2
"486_4",16409.3
"486_5",14830.1
"5841_1",8008.1
"5841_2",10604.1
"5841_3",10060.7
"5841_4",2918.2
"5841_5",3712.4
"5841_6",9652.5
"5842_1",11434.9
"5842_2",NA
"5843a_1",21174.4
"5844b_1",9123.6
"5844b_2",9943.5
"882_1",8761
"882_2",14752.2
"882_3",12089.9
"882_4",18062.2
"882H",18765.9
"883_1",3340.4
"883_2",4718.7
"883_3",11905.3
"883_4",11891.2
"883_5",5864.8
"883_6",3080.3
"883_7",3173.8
"883_8",2022.3
"883_9",617.7
"883_10",NA
"HIMI",145446.3
"RSR_open",140141.1
