"Polys","Fishable_area"
"486_3",883.25
"882_4",15266
"883_1",4127.25
"486_2",9380
"486_4",10395.75
"486_5",8334.25
"5841_1",8190
"5841_2",9151
"5841_3",10931.75
"5841_4",1574.25
"5841_5",6640.75
"5841_6",10224.25
"5842_1",6819
"5843a_1",21276
"882_1",12088
"882_2",10392.25
"882_3",8522.75
"883_2",7295
"883_3",12588.75
"883_4",8721
"883_5",1830.5
"482_N",17176
"482_S",2256.25
"883_6",9513.75
"883_7",16671.25
"883_8",931.75
"883_9",0
"5844b_1",3472.5
"5844b_2",6196.75
"883_10",0
"481_1",3676.5
"481_2",9770.25
"481_3",3872.25
"882H",3417.5
"RSR_open",89959.5
"HIMI",114638.25
