"Polys","Fishable_area"
"486_3",941.01
"882_4",14387.41
"883_1",3851.97
"486_2",9333.36
"486_4",10511.03
"486_5",8390.91
"5841_1",7624.94
"5841_2",8572.7
"5841_3",9961.4
"5841_4",2134.57
"5841_5",5281.9
"5841_6",10602.45
"5842_1",7018.98
"5843a_1",30788.36
"882_1",11800.57
"882_2",10476.76
"882_3",8447.47
"883_2",7347
"883_3",12194.72
"883_4",9196.3
"482_N",17101.46
"482_S",2458.96
"883_5",1839.66
"883_6",10445.33
"5844b_1",3964.96
"5844b_2",6117.77
"883_7",16763.01
"481_2",9505.71
"883_8",894.93
"5842_2",7251.2
"883_9",9.91
"883_10",0
"481_1",3708.94
"481_3",4034.57
"883_11",2381.96
"883_12",3022.52
"882H",3598.3
"HIMI",111091.26
"RSR_open",87057.04
