Year,Title,Paper,URL
2016,A description of current metrics and methods used in providing advice to the Scientific Committee on setting catch limits and assessing research plans in research blocks in exploratory fisheries and closed areas.,WG-SAM-16/18 Rev. 1,https://meetings.ccamlr.org/en/wg-sam-16/18-rev-1
2016,Local biomass estimates for Antarctic (Dissostichus mawsoni) and Patagonian (Dissostichus eleginoides) toothfish in research blocks in Subareas 48.6 and 58.4.,WG-FSA-16/27,https://meetings.ccamlr.org/en/wg-fsa-16/27
2017,Estimating uncertainty in local biomass estimates of toothfish in CCAMLR in Subareas 58.4 and 48.6 research blocks.,WG-SAM-17/12,https://meetings.ccamlr.org/en/wg-sam-17/12
2017,"Estimates of local biomass, including estimates of uncertainty, for Antarctic (Dissostichus mawsoni) and Patagonian (Dissostichus eleginoides) toothfish in research blocks in Subareas 48.2, 48.6, 58.4 and 88.3.",WG-FSA-17/42,https://meetings.ccamlr.org/en/wg-fsa-17/42
2018,Estimates of local biomass with uncertainty for Antarctic (Dissostichus mawsoni) and Patagonian (D. eleginoides) toothfish in research blocks in Subareas 48.6 and 58.4.,WG-FSA-18/12,https://meetings.ccamlr.org/en/wg-fsa-18/12
2021,Provisional Trend Analysis - Preliminary 2021 research blocks biomass estimates.,WG-SAM-2021/06,https://meetings.ccamlr.org/en/wg-sam-2021/06
2021,Trend analysis - 2021 research blocks biomass estimates.,WG-FSA-2021/06,https://meetings.ccamlr.org/en/wg-fsa-2021/06
2022,2022 provisional trend analysis - preliminary estimates of toothfish biomass in research blocks.,WG-SAM-2022/08,https://meetings.ccamlr.org/en/wg-sam-2022/08
2022,2022 trend analysis - Estimates of toothfish biomass in research blocks.,WG-FSA-2022/13,https://meetings.ccamlr.org/en/wg-fsa-2022/13
2023,2023 provisional trend analysis: preliminary estimates of toothfish biomass in research blocks.,WG-SAM-2023/16,https://meetings.ccamlr.org/en/wg-sam-2023/16
2023,2023 trend analysis: Estimates of toothfish biomass in Research Blocks.,WG-FSA-2023/05,https://meetings.ccamlr.org/en/wg-fsa-2023/05
2024,2024 provisional trend analysis: preliminary estimates of toothfish biomass in Research Blocks.,WG-SAM-2024/12,https://meetings.ccamlr.org/en/wg-sam-2024/12
2024,2024 trend analysis: Estimates of toothfish biomass in Research Blocks.,WG-FSA-IMAF-2024/12,https://meetings.ccamlr.org/en/wg-fsa-imaf-2024/12
2025,2025 provisional trend analysis: preliminary estimates of toothfish biomass in Research Blocks.,WG-SAM-2025/06,https://meetings.ccamlr.org/en/wg-sam-2025/06
2025,2025 trend analysis: Estimates of toothfish biomass in Research Blocks.,WG-FSA-2025/01,https://meetings.ccamlr.org/en/wg-fsa-2025/01
2026,Impacts of Research Block buffers on the Trend Analysis.,WG-SAM-2026/12,https://meetings.ccamlr.org/en/wg-sam-2026/12
