"RB","S","nRB","n5km","n1fsr","n2fsr"
"482_N",2018,1,0,0,4
"482_N",2019,12,0,0,4
"482_S",2018,10,0,0,10
"482_S",2019,103,0,0,22
"486_2",2012,892,0,29,44
"486_4",2012,413,8,11,14
"486_4",2013,553,4,15,15
"486_4",2015,288,0,1,1
"486_4",2022,547,0,7,7
"486_5",2017,960,1,1,1
"486_5",2020,486,4,29,29
"486_5",2021,555,0,14,14
"486_5",2022,977,1,79,79
"5841_2",2014,281,0,0,9
"5841_2",2016,215,0,0,132
"5841_3",2016,296,4,65,65
"5841_5",2016,178,0,15,72
"5842_1",2012,117,13,65,86
"5843a_1",2017,85,0,0,21
"5844b_1",2012,94,1,1,1
"5844b_1",2013,126,0,0,67
"5844b_1",2014,71,0,0,72
"5844b_1",2015,115,0,0,101
"5844b_1",2016,127,0,4,73
"5844b_1",2017,129,0,7,79
"5844b_1",2019,118,0,0,7
"5844b_2",2013,105,1,2,-65
"5844b_2",2014,88,0,0,-72
"5844b_2",2015,93,10,11,-90
"5844b_2",2016,87,0,0,-69
"5844b_2",2017,119,0,0,-72
"5844b_2",2018,10,0,0,-4
"5844b_2",2019,6,1,1,NA
"882_2",2017,147,0,0,118
"882_2",2020,719,0,0,8
"882_2",2021,556,0,0,34
"882_2",2022,685,0,0,377
"882_2",2023,424,0,0,308
"882_2",2024,1012,0,0,223
"882_2",2025,1294,0,0,163
"882_3",2012,19,1,1,1
"882_3",2014,54,3,14,22
"882_3",2017,269,0,0,-118
"882_3",2020,135,0,0,-6
"882_3",2021,73,0,0,-34
"882_3",2022,641,0,0,-377
"882_3",2023,334,0,0,-308
"882_3",2024,732,0,0,-223
"882_3",2025,1180,0,0,-163
"882_4",2023,545,3,3,3
"883_4",2020,280,0,0,16
"883_4",2022,316,0,0,19
"883_4",2023,146,0,0,11
"883_5",2018,17,0,1,1
"883_6",2020,22,0,0,-7
"883_6",2024,38,0,0,-3
"883_7",2020,19,0,0,-16
